employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment,vol_exit_date,left,tenure_m_at_ref,last_rating,last_goal,last_promo_rec,n_reviews,n_promo_recs,repeat_promo_rec,ever_promo_rec,eligible_never_rec,goal_delta,surveyed,responded,non_responder,manager_effectiveness,psychological_safety,recognition,career_development,senior_leadership_trust,purpose_meaning,wellbeing,confidence_in_role_future,eng_index,d_manager_effectiveness,d_career_development,d_recognition,hist_response_rate,mgr_span,ref_date
E00038,Cheryl Vargas,1988-02-19,,active,Technology,Client-Advisory,3,"Senior Manager, Technology",233700.0,1.02,Female,60+,Southeast Asian,Part-time,False,False,E13776,referral,NovaCorp-Origin,WorkdayHR,14.0,461,True,,0,440.14454664914587,High Performer,81.9,True,1.0,1.0,0,1,0,0.0,True,True,0,3.54,4.11,4.45,3.54,4.0,4.06,3.16,3.06,3.74,0.040000000000000036,0.3900000000000001,-0.20999999999999996,1.0,10.0,2024-10-25
E00039,Selena White,1988-02-20,,active,Risk & Compliance,Risk-Compliance,3,"Senior Manager, Risk & Compliance",218800.0,0.87,Female,60+,Anglo-Australian,Full-time,False,False,E09990,agency,NovaCorp-Origin,WorkdayHR,74.0,460,False,,0,440.1116951379763,High Performer,86.5,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,-0.8899999999999997,1.1999999999999997,0.20999999999999996,0.6666666666666666,3.0,2024-10-25
E00040,Mr. Matthew Andrews,1988-02-23,,active,Risk & Compliance,Management,2,"Manager, Risk & Compliance",116700.0,0.8,Male,60+,South Asian,Full-time,False,True,E00663,agency,NovaCorp-Origin,WorkdayHR,70.0,460,False,,0,440.01314060446776,High Performer,69.7,False,1.0,0.0,0,0,1,0.0,True,True,0,2.3,2.87,2.31,3.7,1.21,3.07,1.24,3.94,2.58,0.7699999999999998,1.1300000000000003,0.0,1.0,5.0,2024-10-25
E00041,William Morrison,1988-02-24,,active,Risk & Compliance,Client-Advisory,2,"Manager, Risk & Compliance",115200.0,0.79,Male,60+,Anglo-Australian,Full-time,False,False,E01129,agency,NovaCorp-Origin,WorkdayHR,31.0,460,False,,0,439.98028909329827,High Performer,75.4,False,1.0,0.0,0,0,0,0.0,True,True,0,3.12,4.15,3.63,3.03,3.26,3.26,1.0,2.8,3.03125,-0.08000000000000007,-0.6300000000000003,-0.5,1.0,5.0,2024-10-25
E00042,Morgan Brown,1988-02-26,,active,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",140300.0,0.97,Female,60+,Anglo-Australian,Part-time,False,False,E02271,agency,NovaCorp-Origin,WorkdayHR,48.0,460,False,,0,439.9145860709593,Meets Expectations,61.3,False,1.0,0.0,0,0,0,0.0,True,True,0,3.2,4.5,4.19,1.99,4.33,4.27,2.68,5.0,3.7700000000000005,0.10000000000000009,-0.32000000000000006,1.2700000000000005,1.0,4.0,2024-10-25
E00043,Taylor Tran,1988-02-28,,active,Wealth Management,Operations-Processing,2,"Manager, Wealth Management",117500.0,0.81,Female,60+,Southeast Asian,Full-time,False,False,E11265,agency,NovaCorp-Origin,WorkdayHR,71.0,460,False,,0,439.8488830486202,High Performer,76.4,False,1.0,0.0,0,0,0,0.0,True,True,0,4.97,1.84,4.82,3.73,4.0,4.38,4.26,3.66,3.9574999999999996,-0.03000000000000025,0.6600000000000001,-0.10999999999999943,1.0,2.0,2024-10-25
E00044,Cheryl Wilson,1988-02-29,,active,Insurance,Management,2,"Manager, Insurance",128500.0,0.89,Female,60+,East Asian,Full-time,False,False,E11909,agency,NovaCorp-Origin,WorkdayHR,75.0,460,False,,0,439.8160315374507,Meets Expectations,72.9,False,1.0,0.0,0,0,0,0.0,True,True,0,3.75,3.82,3.6,5.0,4.1,3.28,5.0,4.08,4.07875,-0.5800000000000001,1.3399999999999999,-1.06,1.0,4.0,2024-10-25
E00045,Jeffery Cruz,1988-03-02,,active,Retail Banking,Management,2,"Manager, Retail Banking",130400.0,0.9,Male,55-59,Anglo-Australian,Full-time,False,False,E13190,direct,NovaCorp-Origin,WorkdayHR,14.0,460,False,,0,439.7503285151117,High Performer,60.8,False,1.0,0.0,0,0,0,0.0,True,True,0,1.82,3.6,3.36,3.2,4.35,3.02,2.4,1.83,2.9475,-0.9999999999999998,-0.040000000000000036,-0.54,1.0,13.0,2024-10-25
E00046,John Simmons,1988-03-03,2025-04-29,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",127800.0,0.88,Prefer not to say,60+,East Asian,Full-time,False,False,E10271,referral,NovaCorp-Origin,WorkdayHR,89.0,452,False,2025-04-29,1,439.7174770039422,Meets Expectations,59.8,False,1.0,0.0,0,0,0,0.0,True,True,0,3.46,2.67,4.25,4.29,2.52,3.37,3.78,4.42,3.5949999999999998,0.2999999999999998,2.42,-0.75,1.0,5.0,2024-10-25
E00049,Haley Cobb,1988-03-10,,active,Technology,Operations-Processing,3,"Senior Manager, Technology",191700.0,0.91,Female,60+,Anglo-Australian,Full-time,False,True,E13189,direct,NovaCorp-Origin,WorkdayHR,56.0,460,False,,0,439.4875164257556,Meets Expectations,46.3,False,1.0,0.0,0,0,1,0.0,True,True,0,5.0,5.0,5.0,4.47,4.05,5.0,3.51,4.58,4.57625,0.0,-0.33000000000000007,0.0,1.0,12.0,2024-10-25
E00050,Theodore Rodriguez,1988-03-11,,active,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",134300.0,0.93,Male,60+,South Asian,Part-time,True,True,E12593,graduate,NovaCorp-Origin,WorkdayHR,28.0,460,False,,0,439.45466491458603,High Performer,83.9,False,1.0,0.0,0,0,1,0.0,True,False,1,,,,,,,,,,-0.10999999999999988,-0.1900000000000004,0.4500000000000002,0.6666666666666666,8.0,2024-10-25
E00051,Sandra Kramer,1988-03-13,,active,Retail Banking,Client-Advisory,2,"Manager, Retail Banking",133000.0,0.92,Female,60+,Southeast Asian,Full-time,False,True,E12215,agency,NovaCorp-Origin,WorkdayHR,29.0,460,False,,0,439.38896189224704,Meets Expectations,65.6,False,1.0,0.0,0,0,1,0.0,True,True,0,1.0,1.01,1.6,1.46,2.02,1.57,2.08,1.51,1.53125,-0.1499999999999999,-0.13000000000000012,-0.8799999999999999,1.0,4.0,2024-10-25
E00052,Mrs. Julia Matthews,1988-03-19,,active,Insurance,Risk-Compliance,2,"Manager, Insurance",127400.0,0.88,Female,55-59,Anglo-Australian,Part-time,False,False,E04479,referral,NovaCorp-Origin,WorkdayHR,81.0,460,False,,0,439.19185282522994,Below Expectations,59.8,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,-0.20000000000000018,-0.7599999999999998,0.54,0.6666666666666666,12.0,2024-10-25
E00054,Allen Perez,1988-03-24,,active,Technology,Corporate-Support,2,"Manager, Technology",122900.0,0.85,Male,55-59,Middle Eastern,Full-time,True,False,E02790,agency,NovaCorp-Origin,WorkdayHR,72.0,459,False,,0,439.02759526938235,Meets Expectations,58.6,False,1.0,0.0,0,0,0,0.0,False,,0,,,,,,,,,,0.43999999999999995,-0.9899999999999998,-0.2200000000000002,1.0,7.0,2024-10-25
E00055,Marc Mcdonald,1988-03-25,,active,Corporate Operations,Management,2,"Manager, Corporate Operations",115400.0,0.8,Male,60+,European (non-Anglo),Full-time,False,False,E01159,direct,NovaCorp-Origin,WorkdayHR,83.0,459,False,,0,438.99474375821285,Meets Expectations,66.2,False,1.0,0.0,0,0,0,0.0,True,True,0,4.02,4.17,4.61,2.99,3.65,2.47,3.4,2.89,3.525,-0.20000000000000018,0.9500000000000002,1.2900000000000005,1.0,1.0,2024-10-25
E00057,Cody Chase,1988-03-26,,active,Risk & Compliance,Client-Advisory,2,"Manager, Risk & Compliance",135000.0,0.93,Male,60+,Anglo-Australian,Full-time,False,False,E12466,referral,NovaCorp-Origin,WorkdayHR,57.0,459,False,,0,438.96189224704335,Meets Expectations,63.5,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,0.7800000000000002,0.16000000000000014,0.41999999999999993,0.6666666666666666,4.0,2024-10-25
E00058,Bruce Brown,1988-03-28,,active,Retail Banking,Risk-Compliance,3,"Senior Manager, Retail Banking",185100.0,0.93,Male,60+,South Asian,Full-time,False,True,E04121,referral,NovaCorp-Origin,WorkdayHR,20.0,459,False,,0,438.8961892247043,Outstanding,97.3,False,1.0,0.0,0,0,1,0.0,True,True,0,3.4,1.0,3.68,3.51,2.95,2.28,4.27,2.37,2.9325,-1.1800000000000002,0.029999999999999805,0.3600000000000003,1.0,5.0,2024-10-25
E00059,Molly Ramsey,1988-03-30,,active,Risk & Compliance,Risk-Compliance,2,"Manager, Risk & Compliance",118500.0,0.82,Female,55-59,Anglo-Australian,Part-time,False,False,E04760,direct,NovaCorp-Origin,WorkdayHR,83.0,459,False,,0,438.8304862023653,Meets Expectations,55.3,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,0.41999999999999993,-0.73,0.1299999999999999,0.6666666666666666,3.0,2024-10-25
E00060,Dean Padilla,1988-03-30,,active,Technology,Technology,2,"Manager, Technology",123800.0,0.85,Male,60+,South Asian,Full-time,False,False,E09472,agency,NovaCorp-Origin,WorkdayHR,31.0,459,False,,0,438.8304862023653,Outstanding,95.0,True,1.0,1.0,0,1,0,0.0,True,True,0,4.91,3.67,3.19,4.71,3.52,4.67,4.6,4.28,4.19375,0.4900000000000002,0.6699999999999999,-0.20000000000000018,0.6666666666666666,8.0,2024-10-25
E00061,Kendra Mayer,1988-03-31,,active,Wealth Management,Technology,2,"Manager, Wealth Management",128700.0,0.89,Female,55-59,Anglo-Australian,Full-time,False,False,E05073,direct,NovaCorp-Origin,WorkdayHR,71.0,459,False,,0,438.79763469119575,Outstanding,94.4,False,1.0,0.0,0,0,0,0.0,True,True,0,2.87,3.91,1.26,1.45,1.9,2.2,2.51,3.76,2.4825,0.41000000000000014,0.24,-1.14,0.6666666666666666,10.0,2024-10-25
E00064,Kara Rogers,1988-04-03,,active,Risk & Compliance,Operations-Processing,2,"Manager, Risk & Compliance",130000.0,0.9,Female,60+,Southeast Asian,Full-time,False,False,E12358,direct,NovaCorp-Origin,WorkdayHR,63.0,459,False,,0,438.69908015768726,Meets Expectations,70.6,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,0.8499999999999996,-0.23999999999999977,-1.38,0.6666666666666666,4.0,2024-10-25
E00065,Gregory Martinez,1988-04-03,,active,Technology,Operations-Processing,2,"Manager, Technology",142000.0,0.98,Male,55-59,Prefer not to say,Full-time,False,False,E13598,direct,NovaCorp-Origin,WorkdayHR,90.0,459,False,,0,438.69908015768726,Below Expectations,50.3,False,1.0,0.0,0,0,0,0.0,True,True,0,3.58,4.63,2.83,3.16,4.21,3.97,4.93,4.05,3.92,-0.040000000000000036,-1.0199999999999996,0.29000000000000004,1.0,3.0,2024-10-25
E00066,Sharon Ross,1988-04-04,,active,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",132500.0,0.91,Female,60+,Anglo-Australian,Part-time,False,True,E08970,graduate,NovaCorp-Origin,WorkdayHR,40.0,459,False,,0,438.6662286465177,Below Expectations,52.0,False,1.0,0.0,0,0,1,0.0,True,True,0,5.0,2.59,3.3,3.49,3.99,3.38,3.29,2.9,3.4924999999999997,0.8399999999999999,-0.1299999999999999,-1.5899999999999999,1.0,7.0,2024-10-25
