employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment,exit_type,stated_exit_reason,notice_period_served,regrettable_flag,performance_band_at_exit,salary_at_exit,manager_id_at_exit,pathway
E03581,Linda Gutierrez,2002-02-27,2024-11-26,departed,Retail Banking,Technology,1,Senior Engineer,142600.0,1.03,Female,40-44,Anglo-Australian,Full-time,False,False,E10879,direct,NovaCorp-Origin,WorkdayHR,30.0,276,False,voluntary,Career advancement,True,True,Outstanding,142600.0,E10879,push
E03653,Adrian Morris,2002-06-06,2025-05-09,departed,Technology,Client-Advisory,1,Client Service Officer,80400.0,0.84,Male,50-54,Anglo-Australian,Full-time,True,False,E09355,agency,NovaCorp-Origin,WorkdayHR,60.0,279,False,voluntary,Career advancement,True,True,High Performer,80400.0,E09355,pull
E03700,Sarah Gomez MD,2002-08-09,2025-02-21,departed,Wealth Management,Operations-Processing,1,Analyst,112400.0,0.98,Prefer not to say,50-54,East Asian,Full-time,False,True,E01208,direct,NovaCorp-Origin,WorkdayHR,70.0,274,False,voluntary,Career advancement,False,True,Outstanding,112400.0,E01208,pull
E04087,Mr. Nathaniel Sanders,2004-03-12,2024-06-24,departed,Technology,Technology,1,Junior Developer,78100.0,0.97,Male,55-59,Anglo-Australian,Full-time,False,True,E01432,agency,NovaCorp-Origin,WorkdayHR,40.0,246,False,voluntary,Career advancement,False,True,Outstanding,78100.0,E01432,pull
E04099,Jean Goodman,2004-03-27,2025-01-24,departed,Corporate Operations,Operations-Processing,1,Analyst,100300.0,0.66,Female,45-49,East Asian,Full-time,True,True,E04153,direct,NovaCorp-Origin,WorkdayHR,29.0,253,False,voluntary,Career advancement,True,True,High Performer,100300.0,E04153,pull
E04122,Troy Evans,2004-05-02,2024-07-26,departed,Insurance,Operations-Processing,1,Processing Officer,66800.0,0.9,Male,55-59,Anglo-Australian,Full-time,True,False,E02448,graduate,NovaCorp-Origin,WorkdayHR,31.0,246,False,voluntary,Career advancement,True,True,Outstanding,66800.0,E02448,push
E04223,Anna Kim,2004-09-06,2024-11-22,departed,Wealth Management,Operations-Processing,1,Analyst,106900.0,0.94,Female,50-54,East Asian,Full-time,False,False,E03199,agency,NovaCorp-Origin,WorkdayHR,83.0,246,False,voluntary,Career advancement,True,True,Outstanding,106900.0,E03199,pull
E04410,Brandon King,2005-05-30,2025-06-30,departed,Technology,Client-Advisory,2,"Manager, Technology",157700.0,0.89,Male,35-39,Anglo-Australian,Part-time,False,False,E11777,direct,NovaCorp-Origin,WorkdayHR,78.0,244,False,voluntary,Better opportunity,True,True,Outstanding,157700.0,E11777,pull
E04412,Thomas Edwards,2005-06-01,2024-03-22,departed,Wealth Management,Client-Advisory,1,Client Service Officer,71000.0,1.08,Male,45-49,Anglo-Australian,Full-time,False,False,E03096,referral,NovaCorp-Origin,WorkdayHR,44.0,228,False,voluntary,Career advancement,True,True,Outstanding,71000.0,E03096,pull
E04544,Cory Pearson,2006-01-03,2025-05-02,departed,Wealth Management,Technology,1,Engineer,103300.0,0.98,Male,35-39,Southeast Asian,Full-time,False,False,E04911,agency,NovaCorp-Origin,WorkdayHR,31.0,235,False,voluntary,Better opportunity,True,True,Outstanding,103300.0,E04911,pull
E04554,Ryan Hernandez,2006-01-16,2024-03-21,departed,Retail Banking,Technology,1,Engineer,90500.0,0.99,Male,45-49,Maori/Aboriginal & Torres Strait Islander,Full-time,False,False,E14012,referral,NovaCorp-Origin,WorkdayHR,81.0,221,False,voluntary,Career advancement,True,True,Outstanding,90500.0,E14012,pull
E04680,Nicholas Knight,2006-07-11,2024-02-16,departed,Risk & Compliance,Technology,3,"Senior Manager, Risk & Compliance",216700.0,0.72,Male,50-54,Anglo-Australian,Full-time,True,False,E10303,referral,NovaCorp-Origin,WorkdayHR,17.0,214,False,voluntary,Better opportunity,True,True,Outstanding,216700.0,E10303,pull
E04725,Nicholas Patton,2006-09-01,2024-09-06,departed,Corporate Operations,Management,1,Administration Officer,78200.0,0.89,Male,45-49,Anglo-Australian,Full-time,False,False,E03029,agency,NovaCorp-Origin,WorkdayHR,15.0,219,False,voluntary,Career advancement,True,True,Outstanding,78200.0,E03029,pull
E04735,Sonya Martinez,2006-09-12,2025-10-31,departed,Executive Leadership,Client-Advisory,1,Senior Adviser,132000.0,0.93,Female,45-49,Anglo-Australian,Full-time,False,False,E00494,direct,NovaCorp-Origin,WorkdayHR,59.0,232,False,voluntary,Better opportunity,True,True,Outstanding,132000.0,E00494,push
E04865,John Kelley,2007-03-29,2024-03-16,departed,Technology,Operations-Processing,1,Processing Officer,62500.0,0.81,Male,35-39,Anglo-Australian,Full-time,True,True,E10049,referral,NovaCorp-Origin,WorkdayHR,35.0,206,False,voluntary,Better opportunity,True,True,Outstanding,62500.0,E10049,pull
E04905,Jeremiah Day,2007-05-12,2024-07-31,departed,Risk & Compliance,Operations-Processing,1,Analyst,108100.0,0.84,Male,50-54,South Asian,Full-time,True,False,E05551,agency,NovaCorp-Origin,WorkdayHR,73.0,209,False,voluntary,Career advancement,True,True,Below Expectations,108100.0,E05551,pull
E05010,Victor Ramirez,2007-10-30,2025-01-08,departed,Risk & Compliance,Operations-Processing,4,"Director, Risk & Compliance",315500.0,0.89,Male,45-49,South Asian,Full-time,True,False,E03057,acquisition,NovaCorp-Origin,WorkdayHR,75.0,209,False,voluntary,Better opportunity,False,True,Meets Expectations,315500.0,E03057,pull
E05048,Mrs. Alexis Dawson DVM,2007-12-23,2025-11-07,departed,Wealth Management,Client-Advisory,1,Client Service Officer,84100.0,0.95,Female,40-44,Anglo-Australian,Full-time,True,False,E00633,agency,NovaCorp-Origin,WorkdayHR,37.0,217,False,voluntary,Compensation,True,True,Outstanding,84100.0,E00633,push
E05063,James Mcclure,2008-01-16,2024-09-14,departed,Technology,Management,3,"Senior Manager, Technology",242500.0,1.03,Male,40-44,South Asian,Full-time,False,False,E01602,referral,NovaCorp-Origin,WorkdayHR,54.0,202,False,voluntary,Career advancement,False,True,Outstanding,242500.0,E01602,push
E05373,Erin Mcclure,2009-06-13,2024-02-29,departed,Retail Banking,Client-Advisory,1,Adviser,110400.0,0.91,Female,40-44,South Asian,Full-time,False,True,E07521,referral,NovaCorp-Origin,WorkdayHR,26.0,179,False,voluntary,Career advancement,True,True,Outstanding,110400.0,E07521,push
E05633,April Randolph,2010-06-24,2025-07-31,departed,Technology,Operations-Processing,1,Analyst,94800.0,1.07,Prefer not to say,35-39,Anglo-Australian,Casual,False,False,E10810,referral,NovaCorp-Origin,WorkdayHR,34.0,183,False,voluntary,Career advancement,True,True,Outstanding,94800.0,E10810,push
E05701,Julie Taylor,2010-09-17,2025-11-28,departed,Wealth Management,Management,3,"Senior Manager, Wealth Management",188800.0,0.79,Female,40-44,European (non-Anglo),Part-time,True,False,E02881,direct,NovaCorp-Origin,WorkdayHR,85.0,185,False,voluntary,Better opportunity,True,True,Meets Expectations,188800.0,E02881,pull
E05714,Jennifer Nelson,2010-10-15,2024-11-16,departed,Risk & Compliance,Technology,1,Engineer,88100.0,0.92,Prefer not to say,35-39,South Asian,Fixed-term,True,False,E00839,referral,NovaCorp-Origin,WorkdayHR,46.0,171,False,voluntary,Career advancement,True,True,High Performer,88100.0,E00839,pull
E05802,Danny Mcdaniel,2011-03-24,2024-07-16,departed,Wealth Management,Risk-Compliance,3,"Senior Manager, Wealth Management",198200.0,0.97,Prefer not to say,40-44,Anglo-Australian,Fixed-term,False,True,E03131,direct,NovaCorp-Origin,WorkdayHR,73.0,162,False,voluntary,Personal reasons,True,True,Outstanding,198200.0,E03131,push
E05891,Timothy Glass,2011-09-21,2025-07-24,departed,Technology,Client-Advisory,1,Senior Adviser,138700.0,0.9,Male,30-34,Anglo-Australian,Full-time,True,True,E02883,graduate,NovaCorp-Origin,WorkdayHR,39.0,168,False,voluntary,Career advancement,True,True,Outstanding,138700.0,E02883,pull
E06155,Willie Martin,2012-10-24,2024-02-16,departed,Wealth Management,Risk-Compliance,1,Senior Risk Analyst,119000.0,1.08,Prefer not to say,40-44,European (non-Anglo),Full-time,False,False,E13519,referral,NovaCorp-Origin,WorkdayHR,68.0,137,False,voluntary,Career advancement,True,True,Outstanding,119000.0,E13519,pull
E06184,Michelle Harris,2012-12-10,2024-11-26,departed,Retail Banking,Management,1,Team Leader,135600.0,0.93,Female,50-54,Anglo-Australian,Full-time,False,False,E02199,direct,NovaCorp-Origin,WorkdayHR,77.0,145,False,voluntary,Better opportunity,True,True,Outstanding,135600.0,E02199,pull
E06338,Denise Foster,2013-07-29,2025-07-11,departed,Risk & Compliance,Risk-Compliance,1,Compliance Officer,60400.0,0.98,Female,30-34,Middle Eastern,Casual,False,False,E13955,direct,NovaCorp-Origin,WorkdayHR,34.0,145,False,voluntary,Better opportunity,True,True,Outstanding,60400.0,E13955,pull
E06534,Allison Moore,2014-04-11,2025-04-30,departed,Technology,Management,1,Administration Officer,75900.0,0.92,Female,35-39,Southeast Asian,Full-time,True,False,E03349,referral,NovaCorp-Origin,WorkdayHR,22.0,134,False,voluntary,Better opportunity,False,True,Unsatisfactory,75900.0,E03349,pull
E06618,Jessica Roberts,2014-08-04,2025-02-28,departed,Corporate Operations,Management,1,Team Leader,120100.0,0.96,Female,25-29,Anglo-Australian,Casual,False,False,E14258,direct,NovaCorp-Origin,WorkdayHR,47.0,128,False,voluntary,Career advancement,True,True,Outstanding,120100.0,E14258,push
E06669,Angela Lee,2014-10-13,2024-02-02,departed,Insurance,Management,1,Team Leader,134800.0,0.79,Female,40-44,Anglo-Australian,Full-time,True,False,E10672,direct,NovaCorp-Origin,WorkdayHR,24.0,113,False,voluntary,Better opportunity,True,True,High Performer,134800.0,E10672,pull
E06722,Jeffrey Richardson,2015-01-08,2024-04-05,departed,Technology,Client-Advisory,1,Senior Adviser,135300.0,0.93,Male,40-44,Anglo-Australian,Full-time,False,False,E00130,direct,NovaCorp-Origin,WorkdayHR,57.0,112,False,voluntary,Career advancement,True,True,Outstanding,135300.0,E00130,pull
E06780,Kathleen Mooney,2015-04-30,2024-04-20,departed,Insurance,Technology,1,Senior Engineer,116800.0,0.89,Female,30-34,South Asian,Part-time,False,False,E01615,agency,NovaCorp-Origin,WorkdayHR,28.0,109,False,voluntary,Career advancement,True,True,Outstanding,116800.0,E01615,pull
E06969,William Leblanc,2016-01-02,2025-10-25,departed,Risk & Compliance,Technology,1,Junior Developer,56400.0,0.83,Male,35-39,East Asian,Full-time,True,False,E03290,direct,NovaCorp-Origin,WorkdayHR,29.0,119,False,voluntary,Career advancement,True,True,Below Expectations,56400.0,E03290,pull
E07045,John Avery,2016-05-01,2025-05-02,departed,Risk & Compliance,Corporate-Support,1,Graduate,81000.0,0.97,Male,30-34,Anglo-Australian,Part-time,False,True,E02164,direct,NovaCorp-Origin,WorkdayHR,90.0,109,False,voluntary,Role uncertainty / unclear future,True,True,Outstanding,81000.0,E02164,push
E07126,Brian Jordan,2016-09-27,2024-05-31,departed,Risk & Compliance,Client-Advisory,1,Client Service Officer,65400.0,0.84,Male,45-49,Anglo-Australian,Full-time,True,False,E04875,direct,NovaCorp-Origin,WorkdayHR,73.0,93,False,voluntary,Career advancement,True,True,Meets Expectations,65400.0,E04875,pull
E07128,Derrick Brown,2016-09-28,2024-12-13,departed,Technology,Corporate-Support,1,Graduate,72000.0,0.92,Prefer not to say,35-39,Anglo-Australian,Full-time,True,False,E01712,referral,NovaCorp-Origin,WorkdayHR,56.0,99,False,voluntary,Career advancement,True,True,High Performer,72000.0,E01712,pull
E07230,Hayden Montes,2017-02-21,2025-07-13,departed,Risk & Compliance,Risk-Compliance,1,Risk Analyst,101600.0,0.99,Male,35-39,Southeast Asian,Casual,False,False,E00697,agency,NovaCorp-Origin,WorkdayHR,82.0,102,False,voluntary,Better opportunity,True,True,Meets Expectations,101600.0,E00697,push
E07382,Susan Griffin,2017-09-21,2025-02-06,departed,Risk & Compliance,Operations-Processing,1,Analyst,100400.0,1.03,Non-binary,35-39,Anglo-Australian,Full-time,False,False,E01741,agency,NovaCorp-Origin,WorkdayHR,17.0,89,False,voluntary,Career advancement,True,True,Outstanding,100400.0,E01741,pull
E07420,Paul Short,2017-11-14,2024-02-08,departed,Corporate Operations,Corporate-Support,1,Graduate,58400.0,0.89,Male,25-29,Anglo-Australian,Full-time,True,False,E03427,direct,NovaCorp-Origin,WorkdayHR,71.0,75,False,voluntary,Career advancement,True,True,Outstanding,58400.0,E03427,pull
E07422,Katherine Davidson,2017-11-16,2025-02-19,departed,Risk & Compliance,Technology,1,Senior Engineer,124700.0,0.88,Female,25-29,Prefer not to say,Part-time,True,False,E06782,referral,NovaCorp-Origin,WorkdayHR,43.0,88,False,voluntary,Career advancement,True,True,Outstanding,124700.0,E06782,pull
E07489,Robin Adkins,2018-02-17,2025-03-31,departed,Wealth Management,Risk-Compliance,1,Risk Analyst,108900.0,0.95,Female,30-34,Southeast Asian,Full-time,False,True,E04174,agency,NovaCorp-Origin,WorkdayHR,67.0,86,False,voluntary,Career advancement,True,True,Outstanding,108900.0,E04174,pull
E07595,Kristen Castillo,2018-06-24,2024-10-31,departed,Risk & Compliance,Management,1,Administration Officer,84300.0,0.9,Female,40-44,Prefer not to say,Full-time,False,False,E03363,referral,NovaCorp-Origin,WorkdayHR,57.0,77,False,voluntary,Better opportunity,True,True,Outstanding,84300.0,E03363,pull
E07625,Jeffrey Allen,2018-08-06,2025-04-21,departed,Retail Banking,Technology,4,"Director, Retail Banking",252000.0,1.01,Male,30-34,Anglo-Australian,Full-time,False,False,E06357,graduate,NovaCorp-Origin,WorkdayHR,21.0,81,False,voluntary,Career advancement,True,True,Outstanding,252000.0,E06357,pull
E07698,Pamela Watkins,2018-12-04,2024-12-13,departed,Technology,Corporate-Support,2,"Manager, Technology",155300.0,0.98,Female,35-39,Middle Eastern,Full-time,False,True,E13314,direct,NovaCorp-Origin,WorkdayHR,23.0,73,False,voluntary,Career advancement,True,True,Outstanding,155300.0,E13314,push
E07791,James Smith,2019-04-16,2024-12-07,departed,Insurance,Management,1,Coordinator,110000.0,0.99,Male,18-24,Anglo-Australian,Full-time,False,False,E01417,direct,NovaCorp-Origin,WorkdayHR,31.0,68,False,voluntary,Career advancement,True,True,Outstanding,110000.0,E01417,pull
E07838,Kimberly Hunter,2019-06-13,2024-03-29,departed,Retail Banking,Management,1,Coordinator,91300.0,1.03,Prefer not to say,25-29,Anglo-Australian,Part-time,False,False,E01194,direct,NovaCorp-Origin,WorkdayHR,25.0,58,False,voluntary,Better opportunity,True,True,Outstanding,91300.0,E01194,pull
E07884,Chelsea Andersen,2019-08-23,2024-03-29,departed,Corporate Operations,Corporate-Support,1,Graduate,60600.0,0.95,Female,25-29,Anglo-Australian,Full-time,True,False,E01300,agency,NovaCorp-Origin,WorkdayHR,69.0,56,False,voluntary,Better opportunity,True,True,High Performer,60600.0,E01300,pull
E08000,Alexander Lynch,2020-02-21,2025-06-13,departed,Retail Banking,Client-Advisory,1,Adviser,108800.0,0.82,Male,30-34,East Asian,Full-time,True,True,E05579,acquisition,NovaCorp-Origin,WorkdayHR,22.0,64,False,voluntary,Better opportunity,True,True,Meets Expectations,108800.0,E05579,pull
E08061,Robert Rose,2020-06-01,2024-11-15,departed,Corporate Operations,Client-Advisory,2,"Manager, Corporate Operations",142400.0,0.95,Male,18-24,Anglo-Australian,Casual,True,True,E02100,agency,NovaCorp-Origin,WorkdayHR,50.0,54,False,voluntary,Career advancement,True,True,Outstanding,142400.0,E02100,pull
