employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment,exit_date_log,exit_type,stated_exit_reason,notice_period_served,regrettable_flag,performance_band_at_exit,salary_at_exit,manager_id_at_exit,pathway,exit_dt,is_leaver,voluntary,regrettable,cutoff,last_manager_effectiveness,last_psychological_safety,last_recognition,last_career_development,last_senior_leadership_trust,last_purpose_meaning,last_wellbeing,last_confidence_in_role_future,mean_manager_effectiveness,mean_psychological_safety,mean_recognition,mean_career_development,mean_senior_leadership_trust,mean_purpose_meaning,mean_wellbeing,mean_confidence_in_role_future,slope_manager_effectiveness,slope_psychological_safety,slope_recognition,slope_career_development,slope_senior_leadership_trust,slope_purpose_meaning,slope_wellbeing,slope_confidence_in_role_future,waves_offered,waves_answered,nonresponse_rate,ever_nonresponder,answered_final_wave,went_silent,last_engagement_index,mean_engagement_index,slope_engagement_index,n_reviews,last_rating_num,mean_rating_num,first_rating_num,last_goal,mean_goal,first_goal,n_promo_rec,ever_promo_rec,last_promo_rec,n_reviewers,rating_delta,goal_delta,top_performer,mgr_span,mgr_team_vol_rate,mgr_team_hipo_share,mgr_rated_effectiveness,mgr_departed,peer_median_salary,salary_vs_peer,peer_median_compa,compa_vs_peer,underpaid,tenure_years,hipo,acquired,acting,agency_hire,slow_fill,tenure_band
E00012,Harold Mckinney,1988-01-24,,active,Technology,Operations-Processing,2,"Manager, Technology",126300.0,0.87,Male,55-59,South Asian,Full-time,False,False,E00712,graduate,NovaCorp-Origin,WorkdayHR,17.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,3.4,2.67,4.21,3.83,3.68,3.73,4.4,3.44,3.26,2.26,4.2025,3.36,3.375,3.63,3.7275,2.8675,-0.1399999999999999,0.008,-0.0309999999999998,0.1770000000000001,0.0679999999999999,0.17,0.1480000000000001,0.136,5.0,4.0,0.1999999999999999,1.0,True,0.0,3.67,3.3353125,0.067,3.0,3.0,3.333333333333333,4.0,50.7,60.93333333333334,76.2,0.0,False,False,1.0,-1.0,-25.5,0.0,6.0,0.0,0.1666666666666666,3.8214166666666665,0,130900.0,0.9648586707410236,0.91,-0.04,1,38.41666666666666,0,0,0,0,0,10y+
E00013,Glenda Calderon,1988-01-25,,active,Retail Banking,Technology,2,"Manager, Retail Banking",124300.0,0.86,Female,60+,Middle Eastern,Full-time,True,False,E00432,agency,NovaCorp-Origin,WorkdayHR,87.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,3.97,4.54,2.38,3.05,5.0,2.34,3.41,3.38,3.514,4.864,3.034,3.186,4.504,2.914,3.1580000000000004,2.222,0.185,-0.1139999999999998,-0.1830000000000001,-0.0419999999999999,0.09,-0.0599999999999999,-0.0330000000000001,0.34,5.0,5.0,0.0,0.0,True,0.0,3.50875,3.4245,0.022875,3.0,2.0,3.333333333333333,4.0,51.0,68.13333333333334,84.7,0.0,False,False,1.0,-2.0,-33.7,0.0,11.0,0.0,0.1818181818181818,3.876878787878788,0,131800.0,0.9430955993930196,0.91,-0.05,1,38.41666666666666,1,0,0,1,1,10y+
E00014,Karen Williams,1988-01-26,,active,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",122200.0,0.84,Female,55-59,South Asian,Full-time,False,False,E01653,direct,NovaCorp-Origin,WorkdayHR,46.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,4.46,3.94,3.42,4.32,4.13,3.49,3.12,2.75,4.48,4.003333333333333,3.3200000000000003,4.096666666666667,3.8333333333333335,3.06,3.3666666666666667,2.893333333333333,0.24,-0.135,0.1149999999999999,0.145,0.155,0.3500000000000001,0.06,-0.135,5.0,3.0,0.4,1.0,False,1.0,3.70375,3.631666666666667,0.099375,3.0,3.0,2.6666666666666665,2.0,62.1,59.333333333333336,48.9,0.0,False,False,1.0,1.0,13.200000000000005,0.0,5.0,0.0,0.2,4.0242,0,131800.0,0.9271623672230652,0.91,-0.07,1,38.41666666666666,0,0,0,0,0,10y+
E00015,Rebecca Kelly,1988-01-27,,active,Wealth Management,Management,2,"Manager, Wealth Management",121100.0,0.84,Female,60+,Maori/Aboriginal & Torres Strait Islander,Full-time,False,False,E07205,agency,NovaCorp-Origin,WorkdayHR,55.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,3.14,4.9,3.44,2.38,1.58,3.2,4.55,2.96,4.014,4.066,3.93,2.352,2.028,2.56,4.578,3.336,-0.236,0.4050000000000001,-0.1659999999999999,-0.1679999999999999,-0.136,0.478,-0.022,-0.1199999999999999,5.0,5.0,0.0,0.0,True,0.0,3.2687500000000003,3.358,0.004375,3.0,4.0,3.333333333333333,3.0,83.7,70.16666666666667,44.1,0.0,False,False,1.0,1.0,39.6,1.0,3.0,0.0,0.0,3.7155,0,131200.0,0.9230182926829268,0.91,-0.07,1,38.41666666666666,0,0,0,1,1,10y+
E00016,Mark Cox,1988-01-27,,active,Retail Banking,Management,2,"Manager, Retail Banking",127900.0,0.88,Male,60+,Anglo-Australian,Full-time,False,True,E11238,direct,NovaCorp-Origin,WorkdayHR,21.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,2.82,4.33,3.57,2.33,4.65,4.67,2.3,2.73,3.246,3.3600000000000003,3.474,2.3280000000000003,4.324,4.13,2.718,1.914,0.0300000000000001,0.683,-0.043,-0.183,0.2150000000000001,0.0920000000000001,-0.1960000000000001,0.274,5.0,5.0,0.0,0.0,True,0.0,3.4250000000000007,3.18675,0.109,3.0,4.0,3.333333333333333,3.0,58.8,62.6,59.8,0.0,False,False,1.0,1.0,-1.0,1.0,3.0,0.0,0.0,2.795333333333333,0,131800.0,0.9704097116843704,0.91,-0.03,1,38.41666666666666,0,0,0,0,0,10y+
E00017,Amy Newman,1988-01-29,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",139100.0,0.96,Female,60+,Anglo-Australian,Full-time,True,False,E11711,referral,NovaCorp-Origin,WorkdayHR,34.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,4.92,2.1,1.0,1.99,1.34,2.39,2.71,2.32,4.32,2.928,2.154,2.144,1.75,2.918,2.134,3.248,0.233,-0.221,-0.429,-0.19,-0.0579999999999999,-0.0909999999999999,0.0199999999999999,-0.32,5.0,5.0,0.0,0.0,True,0.0,2.34625,2.6995000000000005,-0.132,3.0,2.0,2.6666666666666665,5.0,34.2,57.86666666666667,90.0,0.0,False,False,1.0,-3.0,-55.8,0.0,3.0,0.0,0.3333333333333333,3.462666666666667,0,131800.0,1.0553869499241275,0.91,0.0499999999999999,0,38.41666666666666,1,0,0,0,0,10y+
E00018,Timothy Allen,1988-01-30,,active,Risk & Compliance,Client-Advisory,3,"Senior Manager, Risk & Compliance",174800.0,0.92,Male,60+,Prefer not to say,Full-time,False,False,E10247,agency,NovaCorp-Origin,WorkdayHR,69.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,2.71,3.53,3.19,4.19,3.68,3.42,4.98,3.29,2.71,4.394,2.2960000000000003,2.846,3.278,2.88,4.488,3.242,0.0119999999999999,-0.2550000000000001,0.0939999999999999,0.6140000000000001,0.067,0.2409999999999999,0.1350000000000001,0.0440000000000001,5.0,5.0,0.0,0.0,True,0.0,3.62375,3.26675,0.119,3.0,3.0,3.333333333333333,4.0,58.6,73.26666666666667,86.9,0.0,False,False,1.0,-1.0,-28.300000000000004,0.0,5.0,0.0,0.2,2.5672,0,190700.0,0.9166229680125852,0.94,-0.0199999999999999,0,38.41666666666666,0,0,0,1,1,10y+
E00019,Erin Carter,1988-01-31,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",115500.0,0.8,Female,60+,European (non-Anglo),Casual,False,False,E10272,agency,NovaCorp-Origin,WorkdayHR,36.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,2.94,3.6,4.18,4.43,4.13,4.68,3.73,4.77,3.5975,3.4075,4.1575,4.4825,4.1825,4.1025,4.1575,4.33,-0.2709999999999999,0.205,0.1229999999999998,-0.0630000000000002,-0.2309999999999998,0.3789999999999999,0.1029999999999999,0.284,5.0,4.0,0.1999999999999999,1.0,False,1.0,4.057499999999999,4.0521875,0.0661249999999999,3.0,3.0,3.6666666666666665,3.0,65.0,66.53333333333335,47.4,1.0,True,False,1.0,0.0,17.6,0.0,5.0,0.2,0.0,3.3165,0,131800.0,0.8763277693474962,0.91,-0.1099999999999999,1,38.41666666666666,0,0,0,1,0,10y+
E00020,John Taylor,1988-02-01,,active,Corporate Operations,Operations-Processing,2,"Manager, Corporate Operations",129800.0,0.9,Male,60+,Anglo-Australian,Full-time,False,True,E09364,acquisition,NovaCorp-Origin,WorkdayHR,15.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,1.82,3.1,1.14,3.35,1.61,2.52,1.27,1.5,1.274,4.068,2.466,3.2060000000000004,1.432,2.23,1.882,2.366,0.089,-0.3319999999999999,-0.448,0.0989999999999999,0.219,0.0049999999999999,-0.274,-0.207,5.0,5.0,0.0,0.0,True,0.0,2.03875,2.3655,-0.106125,3.0,4.0,4.0,3.0,82.5,77.13333333333334,63.9,1.0,True,True,1.0,1.0,18.6,1.0,5.0,0.2,0.0,2.8204,0,131800.0,0.984825493171472,0.91,-0.01,0,38.41666666666666,0,0,0,0,0,10y+
E00021,Peter Myers MD,1988-02-04,2024-05-24,departed,Insurance,Risk-Compliance,2,"Manager, Insurance",125500.0,0.87,Male,60+,East Asian,Part-time,False,False,E08861,referral,NovaCorp-Origin,WorkdayHR,89.0,441,False,2024-05-24,voluntary,Career advancement,True,False,Meets Expectations,125500.0,E08861,push,2024-05-24,True,1,0,2024-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,4.0,69.4,69.4,69.4,0.0,False,False,1.0,0.0,0.0,1.0,4.0,0.25,0.0,3.590666666666667,0,130650.0,0.9605817068503636,0.91,-0.04,1,36.75,0,0,0,0,1,10y+
E00022,Brett Lawson,1988-02-05,,active,Insurance,Risk-Compliance,2,"Manager, Insurance",129400.0,0.89,Male,55-59,Anglo-Australian,Full-time,False,True,E00833,agency,NovaCorp-Origin,WorkdayHR,75.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,3.76,3.94,3.56,4.29,5.0,3.1,4.86,4.34,4.587999999999999,3.016,4.366,4.724,4.362,3.3920000000000003,4.508,4.07,-0.2720000000000001,0.1269999999999999,-0.179,-0.1700000000000001,0.1759999999999998,-0.136,-0.0589999999999999,0.0779999999999999,5.0,5.0,0.0,0.0,True,0.0,4.10625,4.12825,-0.054375,3.0,3.0,3.333333333333333,3.0,80.4,71.23333333333333,60.5,0.0,False,False,1.0,0.0,19.90000000000001,0.0,4.0,0.0,0.0,3.5405,0,130650.0,0.9904324531190204,0.91,-0.02,1,38.41666666666666,0,0,0,1,1,10y+
E00023,Jordan Anderson,1988-02-05,2025-07-04,departed,Technology,Corporate-Support,3,"Senior Manager, Technology",175400.0,0.88,Male,60+,Anglo-Australian,Full-time,False,False,E09824,direct,NovaCorp-Origin,WorkdayHR,85.0,455,False,2025-07-04,voluntary,Career advancement,False,False,Outstanding,175400.0,E09824,pull,2025-07-04,True,1,0,2025-07-04,2.8,4.01,4.6,4.45,5.0,4.03,5.0,3.53,3.973333333333333,4.34,4.256666666666667,4.326666666666667,4.963333333333334,3.956666666666667,4.733333333333333,4.156666666666666,-0.6914285714285712,-0.1607142857142853,0.1707142857142859,0.0892857142857147,0.0392857142857151,0.0571428571428575,0.2000000000000004,-0.2171428571428568,4.0,3.0,0.25,1.0,True,0.0,4.1775,4.338333333333334,-0.0641071428571424,3.0,4.0,4.0,4.0,60.2,68.0,76.2,0.0,False,False,1.0,0.0,-16.0,1.0,10.0,0.1,0.0,3.9272166666666655,0,192650.0,0.9104593822995068,0.94,-0.0599999999999999,1,37.91666666666666,0,0,0,0,1,10y+
E00024,Courtney Williams,1988-02-06,,active,Wealth Management,Risk-Compliance,4,"Director, Wealth Management",287300.0,1.05,Female,60+,East Asian,Full-time,False,True,E07787,direct,NovaCorp-Origin,WorkdayHR,36.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,4.79,2.78,4.25,4.29,3.43,3.92,3.77,4.47,4.488,2.394,2.89,4.3100000000000005,3.856,3.244,4.276,4.186,0.158,-0.2230000000000001,0.58,0.1039999999999999,-0.1419999999999999,0.172,-0.302,0.0699999999999997,5.0,5.0,0.0,0.0,True,0.0,3.9625,3.7055,0.0521249999999999,3.0,5.0,4.0,5.0,100.0,74.39999999999999,81.0,1.0,True,True,1.0,0.0,19.0,1.0,1.0,0.0,0.0,4.488,0,297350.0,0.966201446107281,0.95,0.1,0,38.41666666666666,0,0,0,0,0,10y+
E00025,Michael Martin,1988-02-06,,active,Technology,Management,2,"Manager, Technology",123800.0,0.85,Non-binary,55-59,East Asian,Full-time,False,False,E00272,direct,NovaCorp-Origin,WorkdayHR,19.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,2.49,4.05,3.53,3.78,3.97,3.71,4.19,4.79,2.518,4.354,3.436,3.374,3.3660000000000005,4.462,4.5520000000000005,4.804,-0.0209999999999999,0.0299999999999998,0.0139999999999997,0.0379999999999999,0.217,-0.1929999999999999,0.0160000000000001,-0.0519999999999999,5.0,5.0,0.0,0.0,True,0.0,3.81375,3.85825,0.0061249999999999,3.0,4.0,4.0,5.0,71.0,79.73333333333333,90.3,2.0,True,True,1.0,-1.0,-19.3,1.0,3.0,0.0,0.0,3.494333333333333,0,130900.0,0.9457601222307104,0.91,-0.06,1,38.41666666666666,0,0,0,0,0,10y+
E00026,Kevin Monroe,1988-02-08,,active,Technology,Technology,2,"Manager, Technology",132700.0,0.92,Male,60+,South Asian,Full-time,False,False,E06422,direct,NovaCorp-Origin,WorkdayHR,63.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,4.86,5.0,4.83,4.34,4.94,1.8,3.9,3.51,4.638,4.118,4.846,3.5840000000000005,4.988,3.186,4.311999999999999,4.484,0.1160000000000001,0.3419999999999999,-0.0339999999999999,0.3279999999999999,-0.0119999999999999,-0.6049999999999999,0.1949999999999999,-0.1440000000000001,5.0,5.0,0.0,0.0,True,0.0,4.1475,4.2695,0.02325,3.0,3.0,3.6666666666666665,3.0,55.7,66.53333333333333,60.6,1.0,True,False,1.0,0.0,-4.899999999999999,0.0,5.0,0.0,0.0,3.928033333333333,0,130900.0,1.0137509549274255,0.91,0.01,0,38.41666666666666,0,0,0,0,1,10y+
E00027,Mr. Stephen Duran MD,1988-02-10,2025-04-30,departed,Risk & Compliance,Corporate-Support,3,"Senior Manager, Risk & Compliance",172700.0,0.86,Male,60+,East Asian,Casual,False,False,E09174,graduate,NovaCorp-Origin,WorkdayHR,39.0,453,False,2025-04-30,voluntary,Better opportunity,True,False,High Performer,172700.0,E09174,pull,2025-04-30,True,1,0,2025-04-30,2.07,2.31,2.71,2.22,3.78,2.78,3.91,2.79,2.425,1.8625,2.5,2.66,3.825,2.8925,3.695,2.8625,-0.2080000000000001,0.0129999999999999,0.2319999999999998,-0.2719999999999999,-0.1339999999999999,-0.1450000000000003,0.2179999999999999,-0.021,4.0,4.0,0.0,0.0,True,0.0,2.82125,2.8403125,-0.039625,2.0,5.0,4.0,3.0,84.4,70.5,56.6,1.0,True,True,1.0,2.0,27.800000000000004,1.0,6.0,0.1666666666666666,0.0,3.031,0,190700.0,0.9056109071840588,0.94,-0.0799999999999999,1,37.75,0,0,0,0,0,10y+
E00029,Sarah Lee,1988-02-10,,active,Insurance,Operations-Processing,3,"Senior Manager, Insurance",177300.0,0.89,Female,60+,Anglo-Australian,Full-time,False,False,E01698,direct,NovaCorp-Origin,WorkdayHR,28.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,5.0,3.13,4.01,4.42,4.82,3.72,3.59,2.36,3.69,2.4925,3.1325,4.285,4.1875,4.0525,3.7775,3.2175,0.4022857142857144,0.3025714285714286,0.2625714285714285,-0.0245714285714286,0.1145714285714289,-0.0288571428571428,0.0311428571428571,-0.2499999999999999,5.0,4.0,0.1999999999999999,1.0,True,0.0,3.88125,3.604375000000001,0.1012142857142857,3.0,4.0,4.333333333333333,5.0,85.8,82.10000000000001,83.3,1.0,True,False,1.0,-1.0,2.5,1.0,6.0,0.0,0.0,3.513666666666667,0,195650.0,0.9062100690007668,0.94,-0.0499999999999999,1,38.41666666666666,0,0,0,0,0,10y+
